,Poids (%),Montant ($),Secteur
GLE.PA,12.0,176698,Finance
PLTR,9.64,141958,Technologie
ENGI.PA,1.36,20015,Telecom
OR.PA,1.0,14725,Conso. de base
NVR,1.0,14725,Conso. discretionnaire
NVDA,1.0,14725,Technologie
NUAI,1.0,14725,Technologie
NFLX,1.0,14725,Conso. discretionnaire
NESN.SW,1.0,14725,Conso. de base
MSFT,1.0,14725,Technologie
AAPL,1.0,14725,Technologie
ORCL,1.0,14725,Technologie
MCO,1.0,14725,Finance
MCK,1.0,14725,Sante
MA,1.0,14725,Finance
LPX,1.0,14725,Industrie
LLYVK,1.0,14725,Conso. discretionnaire
LILAK,1.0,14725,Conso. discretionnaire
KR,1.0,14725,Conso. de base
KO,1.0,14725,Conso. de base
META,1.0,14725,Technologie
OXY,1.0,14725,Energie
KHC,1.0,14725,Conso. de base
TEM,1.0,14725,Technologie
VST,1.0,14725,Energie
VRSN,1.0,14725,Sante
VGT,1.0,14725,ETF
V,1.0,14725,Finance
UNH,1.0,14725,Sante
TSLA,1.0,14725,Conso. discretionnaire
TMUS,1.0,14725,Telecom
STZ,1.0,14725,Conso. de base
PGHN.SW,1.0,14725,Finance
STLAP.PA,1.0,14725,Industrie
SPY,1.0,14725,ETF
SIRI,1.0,14725,Telecom
ROP,1.0,14725,Industrie
QQQ,1.0,14725,ETF
POOL,1.0,14725,Conso. discretionnaire
PHIA.AS,1.0,14725,Sante
KLAC,1.0,14725,Technologie
KER.PA,1.0,14725,Conso. discretionnaire
AGN.AS,1.0,14725,Finance
BAC,1.0,14725,Finance
COF,1.0,14725,Finance
CHTR,1.0,14725,Conso. discretionnaire
CB,1.0,14725,Finance
CAP.PA,1.0,14725,Technologie
CAC.PA,1.0,14725,Finance
BN.PA,1.0,14725,Finance
BLK,1.0,14725,Finance
AXP,1.0,14725,Finance
JPM,1.0,14725,Finance
ASST,1.0,14725,Divers
ASML.AS,1.0,14725,Technologie
AON,1.0,14725,Finance
AMZN,1.0,14725,Conso. discretionnaire
ALLY,1.0,14725,Finance
AIR.PA,1.0,14725,Industrie
AI.PA,1.0,14725,Technologie
DEO,1.0,14725,Conso. de base
DPZ,1.0,14725,Conso. discretionnaire
DSY.PA,1.0,14725,Technologie
DVA,1.0,14725,Sante
JNJ,1.0,14725,Sante
JEF,1.0,14725,Finance
IBM,1.0,14725,Technologie
IBKR,1.0,14725,Finance
HD,1.0,14725,Conso. discretionnaire
GWW,1.0,14725,Industrie
GS,1.0,14725,Finance
GOOGL,1.0,14725,Technologie
GLD,1.0,14725,Matieres premieres
GE,1.0,14725,Industrie
GD,1.0,14725,Industrie
FWONK,1.0,14725,Conso. discretionnaire
FDX,1.0,14725,Industrie
F,1.0,14725,Autre
EQIX,1.0,14725,Immobilier
XOM,1.0,14725,Energie
