Ticker,Poids MS(%),Montant MS($),Poids MV(%),Montant MV($)
ENGI.PA,32.09,472536,11.28,166058
JNJ,18.81,276928,10.41,153328
GLD,10.11,148892,6.75,99369
GLE.PA,10.03,147634,0.0,0
LLYVK,9.84,144875,0.0,0
PLTR,6.12,90088,0.0,0
KR,5.47,80506,6.64,97727
GOOGL,4.82,70905,3.67,54050
XOM,1.26,18487,7.49,110347
MCK,1.07,15736,1.61,23678
FDX,0.4,5897,0.0,0
DSY.PA,0.0,0,1.44,21131
MSFT,0.0,0,5.14,75639
VRSN,0.0,0,1.62,23782
UNH,0.0,0,1.24,18278
TMUS,0.0,0,0.56,8253
AON,0.0,0,3.75,55231
PHIA.AS,0.0,0,2.12,31183
ORCL,0.0,0,0.45,6626
NVR,0.0,0,0.34,5027
NVDA,0.0,0,1.13,16650
NESN.SW,0.0,0,0.2,2880
META,0.0,0,0.61,9027
CAP.PA,0.0,0,1.22,17982
ASML.AS,0.0,0,3.07,45185
ASST,0.0,0,0.05,748
KO,0.0,0,9.3,136921
AMZN,0.0,0,1.44,21276
BAC,0.0,0,0.82,12090
BN.PA,0.0,0,11.4,167870
CAC.PA,0.0,0,1.85,27239
FWONK,0.0,0,1.28,18919
AI.PA,0.0,0,3.12,45987
