Ticker,Ticker_IBKR,Action,Val actuelle ($),Val cible ($),Montant ($),Quantite,Currency,Exchange,Priorite
POOL,POOL,ACHAT,-12416,0,12416,54.0,USD,NASDAQ,1
DSY.PA,DSY,VENTE,17723,0,17723,914.0,EUR,SBF,1
STLAP.PA,STLAP,VENTE,15253,0,15253,2051.0,EUR,SBF,1
CHTR,CHTR,VENTE,9546,0,9546,40.0,USD,NASDAQ,1
UNH,UNH,VENTE,8429,0,8429,25.0,USD,NYSE,1
JNJ,JNJ,ACHAT,-2797,176698,179495,766.0,USD,NYSE,2
ENGI.PA,ENGI,ACHAT,62028,220873,158845,5679.0,EUR,SBF,2
ASML.AS,ASML,ACHAT,32349,141358,109009,87.0,EUR,AEB,2
GLD,GLD,ACHAT,101363,117799,16435,36.0,USD,ARCA,2
GOOGL,GOOGL,VENTE,677683,117799,559885,1638.0,USD,NASDAQ,2
GLE.PA,GLE,ACHAT,32897,150245,117348,1571.0,EUR,SBF,3
KR,KR,ACHAT,28338,144033,115695,1696.0,USD,NYSE,3
LLYVK,LLYVK,ACHAT,-2317,112577,114894,1190.0,USD,NASDAQ,3
XOM,XOM,ACHAT,34826,105086,70259,479.0,USD,NYSE,3
MCK,MCK,ACHAT,38803,82803,44000,50.0,USD,NYSE,3
ROP,ROP,ACHAT,-26252,0,26252,72.0,USD,NASDAQ,3
ADBE,ADBE,ACHAT,-20107,0,20107,,USD,NASDAQ,3
DPZ,DPZ,ACHAT,-14398,0,14398,38.0,USD,NASDAQ,3
KO,KO,ACHAT,-13295,0,13295,175.0,USD,NYSE,3
JEF,JEF,ACHAT,-8321,0,8321,173.0,USD,NYSE,3
TLT,TLT,ACHAT,-6169,0,6169,,USD,NASDAQ,3
SHY,SHY,ACHAT,-6112,0,6112,,USD,NASDAQ,3
MCO,MCO,ACHAT,-5935,0,5935,13.0,USD,NYSE,3
LPX,LPX,ACHAT,-4044,0,4044,52.0,USD,NYSE,3
NVDA,NVDA,VENTE,599979,0,599979,2974.0,USD,NASDAQ,3
GOOG,GOOG,VENTE,350841,0,350841,,USD,NASDAQ,3
VST,VST,VENTE,332831,0,332831,2036.0,USD,NYSE,3
SQ,SQ,VENTE,250287,0,250287,,MXN,MEXI,3
AAPL,AAPL,VENTE,204520,0,204520,756.0,USD,NASDAQ,3
AMZN,AMZN,VENTE,189365,0,189365,755.0,USD,NASDAQ,3
VGT,VGT,VENTE,160898,0,160898,199.0,USD,ARCA,3
KLAC,KLAC,VENTE,154206,0,154206,86.0,USD,NASDAQ,3
TEM,TEM,VENTE,140175,0,140175,2508.0,USD,NASDAQ,3
GS,GS,VENTE,111896,0,111896,120.0,USD,NYSE,3
CAC.PA,CAC,VENTE,106700,0,106700,1281.0,EUR,SBF,3
QQQ,QQQ,VENTE,96760,0,96760,149.0,USD,NASDAQ,3
NFLX,NFLX,VENTE,93790,0,93790,963.0,USD,NASDAQ,3
NVR,NVR,VENTE,91896,0,91896,13.0,USD,NYSE,3
MSFT,MSFT,VENTE,82819,0,82819,195.0,USD,NASDAQ,3
IBKR,IBKR,VENTE,81434,0,81434,996.0,USD,NASDAQ,3
GWW,GWW,VENTE,77860,0,77860,66.0,USD,NYSE,3
MA,MA,VENTE,75579,0,75579,144.0,USD,NYSE,3
SPY,SPY,VENTE,70760,0,70760,99.0,USD,ARCA,3
FDX,FDX,VENTE,78920,8238,70682,180.0,USD,NYSE,3
ALLY,ALLY,VENTE,66516,0,66516,1466.0,USD,NYSE,3
F,F,VENTE,63920,0,63920,4966.0,USD,NYSE,3
AON,AON,VENTE,57414,0,57414,173.0,USD,NYSE,3
EQIX,EQIX,VENTE,53616,0,53616,49.0,USD,NASDAQ,3
PGHN.SW,PGHN,VENTE,52640,0,52640,55.0,CHF,EBS,3
BLK,BLK,VENTE,52582,0,52582,49.0,USD,NYSE,3
JPM,JPM,VENTE,52582,0,52582,169.0,USD,NYSE,3
ORCL,ORCL,VENTE,43735,0,43735,249.0,USD,NYSE,3
AI.PA,AI,VENTE,43413,0,43413,233.0,EUR,SBF,3
HD,HD,VENTE,42383,0,42383,121.0,USD,NYSE,3
NESN.SW,NESN,VENTE,39960,0,39960,526.0,CHF,EBS,3
ASST,ASST,VENTE,38975,0,38975,2496.0,USD,NASDAQ,3
GE,GE,VENTE,32097,0,32097,105.0,USD,NYSE,3
FWONK,FWONK,VENTE,30421,0,30421,336.0,USD,NASDAQ,3
OR.PA,OR,VENTE,30190,0,30190,84.0,EUR,SBF,3
AGN.AS,AGN,VENTE,29869,0,29869,4302.0,EUR,AEB,3
META,META,VENTE,28958,0,28958,42.0,USD,NASDAQ,3
IBM,IBM,VENTE,28083,0,28083,110.0,USD,NYSE,3
PHIA.AS,PHIA,VENTE,27225,0,27225,1073.0,EUR,AEB,3
FXY,FXY,VENTE,27190,0,27190,,USD,ARCA,3
AIR.PA,AIR,VENTE,26828,0,26828,149.0,EUR,SBF,3
FXC,FXC,VENTE,24919,0,24919,,USD,ARCA,3
LLYVA,LLYVA,VENTE,24777,0,24777,,USD,NASDAQ,3
STZ,STZ,VENTE,24557,0,24557,151.0,USD,NYSE,3
KHC,KHC,VENTE,24072,0,24072,1071.0,USD,NASDAQ,3
KER.PA,KER,VENTE,23818,0,23818,93.0,EUR,SBF,3
V,V,VENTE,23509,0,23509,74.0,USD,NYSE,3
GD,GD,VENTE,23388,0,23388,69.0,USD,NYSE,3
NUAI,NUAI,VENTE,23020,0,23020,4993.0,USD,NASDAQ,3
TSLA,TSLA,VENTE,22374,0,22374,55.0,USD,NASDAQ,3
DVA,DVA,VENTE,22085,0,22085,149.0,USD,NYSE,3
OXY,OXY,VENTE,20293,0,20293,377.0,USD,NYSE,3
VRSN,VRSN,VENTE,19271,0,19271,70.0,USD,NASDAQ,3
CAP.PA,CAP,VENTE,19266,0,19266,174.0,EUR,SBF,3
SPXL,SPXL,VENTE,17953,0,17953,,USD,ARCA,3
DEO,DEO,VENTE,17920,0,17920,218.0,USD,NYSE,3
SIRI,SIRI,VENTE,17318,0,17318,679.0,USD,NASDAQ,3
BN.PA,BN,VENTE,47069,30333,16735,245.0,EUR,SBF,3
BAC,BAC,VENTE,16041,0,16041,297.0,USD,NYSE,3
CB,CB,VENTE,14948,0,14948,45.0,USD,NYSE,3
LILA,LILA,VENTE,13858,0,13858,,USD,NASDAQ,3
LILAK,LILAK,VENTE,13589,0,13589,1547.0,USD,NASDAQ,3
AXP,AXP,VENTE,11276,0,11276,33.0,USD,NYSE,3
FXE,FXE,VENTE,10881,0,10881,,USD,ARCA,3
FXF,FXF,VENTE,10210,0,10210,,USD,ARCA,3
TMUS,TMUS,VENTE,9326,0,9326,47.0,USD,NASDAQ,3
COF,COF,VENTE,8228,0,8228,39.0,USD,NYSE,3
PLTR,PLTR,VENTE,72255,64641,7614,52.0,USD,NASDAQ,3
EMB,EMB,VENTE,6175,0,6175,,USD,NASDAQ,3
LQD,LQD,VENTE,6154,0,6154,,USD,ARCA,3
HYG,HYG,VENTE,6122,0,6122,,USD,ARCA,3
