Ticker,Poids (%),Montant ($)
BN.PA,11.4,167870
ENGI.PA,11.28,166058
JNJ,10.41,153328
KO,9.3,136921
XOM,7.49,110347
GLD,6.75,99369
KR,6.64,97727
MSFT,5.14,75639
AON,3.75,55231
GOOGL,3.67,54050
AI.PA,3.12,45987
ASML.AS,3.07,45185
PHIA.AS,2.12,31183
CAC.PA,1.85,27239
VRSN,1.62,23782
MCK,1.61,23678
AMZN,1.44,21276
DSY.PA,1.44,21131
FWONK,1.28,18919
UNH,1.24,18278
CAP.PA,1.22,17982
NVDA,1.13,16650
BAC,0.82,12090
META,0.61,9027
TMUS,0.56,8253
ORCL,0.45,6626
NVR,0.34,5027
NESN.SW,0.2,2880
ASST,0.05,748
