Ticker,Valeur actuelle ($),Valeur cible ($),Delta ($),Action
NVDA,605523,0,-605523,VENTE
GOOGL,681300,78121,-603179,VENTE
GOOG,352915,0,-352915,VENTE
VST,337942,0,-337942,VENTE
SQ,245572,0,-245572,VENTE
AAPL,203221,0,-203221,VENTE
AMZN,192295,0,-192295,VENTE
VGT,161116,0,-161116,VENTE
KLAC,154098,0,-154098,VENTE
TEM,138950,0,-138950,VENTE
GS,111088,0,-111088,VENTE
EQIX,108925,0,-108925,VENTE
CAC.PA,107988,0,-107988,VENTE
QQQ,97342,0,-97342,VENTE
NFLX,97290,0,-97290,VENTE
NVR,91017,0,-91017,VENTE
MSFT,83633,0,-83633,VENTE
IBKR,81890,0,-81890,VENTE
GWW,77966,0,-77966,VENTE
GE,76322,0,-76322,VENTE
MA,76139,0,-76139,VENTE
FDX,78550,3667,-74883,VENTE
SPY,71057,0,-71057,VENTE
IBM,67065,0,-67065,VENTE
META,66629,0,-66629,VENTE
ALLY,65143,0,-65143,VENTE
F,64400,0,-64400,VENTE
AON,57401,0,-57401,VENTE
PGHN.SW,53155,0,-53155,VENTE
BLK,52700,0,-52700,VENTE
JPM,51845,0,-51845,VENTE
ORCL,43650,0,-43650,VENTE
AI.PA,43347,0,-43347,VENTE
HD,42652,0,-42652,VENTE
ROP,41920,0,-41920,VENTE
NESN.SW,39706,0,-39706,VENTE
ASST,39150,0,-39150,VENTE
KO,36639,0,-36639,VENTE
GD,33615,0,-33615,VENTE
ASML.AS,32235,0,-32235,VENTE
OR.PA,30668,0,-30668,VENTE
FWONK,30409,0,-30409,VENTE
AGN.AS,30017,0,-30017,VENTE
MCK,86551,58630,-27921,VENTE
PHIA.AS,27674,0,-27674,VENTE
AIR.PA,27281,0,-27281,VENTE
FXY,27203,0,-27203,VENTE
FXC,24848,0,-24848,VENTE
LLYVA,24758,0,-24758,VENTE
STZ,24674,0,-24674,VENTE
KER.PA,24346,0,-24346,VENTE
KHC,24233,0,-24233,VENTE
MCO,24136,0,-24136,VENTE
V,23781,0,-23781,VENTE
NUAI,23100,0,-23100,VENTE
TSLA,22860,0,-22860,VENTE
DVA,21880,0,-21880,VENTE
CB,20845,0,-20845,VENTE
OXY,19976,0,-19976,VENTE
CAP.PA,19576,0,-19576,VENTE
DSY.PA,18197,0,-18197,VENTE
SPXL,18158,0,-18158,VENTE
DEO,17854,0,-17854,VENTE
LPX,16972,0,-16972,VENTE
SIRI,16383,0,-16383,VENTE
BAC,16125,0,-16125,VENTE
DPZ,15995,0,-15995,VENTE
STLAP.PA,15238,0,-15238,VENTE
LILA,13798,0,-13798,VENTE
LILAK,13509,0,-13509,VENTE
TMUS,13243,0,-13243,VENTE
JEF,13089,0,-13089,VENTE
POOL,12061,0,-12061,VENTE
AXP,11303,0,-11303,VENTE
FXE,10861,0,-10861,VENTE
FXF,10164,0,-10164,VENTE
CHTR,9243,0,-9243,VENTE
UNH,8420,0,-8420,VENTE
COF,8319,0,-8319,VENTE
BN.PA,47166,41526,-5639,VENTE
PLTR,73245,79632,6387,ACHAT
VRSN,19182,32073,12891,ACHAT
XOM,34239,59859,25620,ACHAT
KR,28330,116730,88400,ACHAT
GLD,102053,220873,118820,ACHAT
LLYVK,25752,145958,120206,ACHAT
ENGI.PA,61492,220873,159381,ACHAT
GLE.PA,33821,193670,159849,ACHAT
JNJ,49523,220873,171349,ACHAT
