,Score Momentum,Score Quality,Score Alpha,Rend 12m (%),Sharpe,Regularite (%),Max DD (%)
ASML.AS,0.925,0.767,0.846,83.5,0.125,56.3,-16.8
ENGI.PA,0.875,0.775,0.825,65.4,0.151,54.0,-13.5
JNJ,0.75,0.867,0.808,49.7,0.172,54.0,-7.0
KLAC,0.975,0.608,0.792,117.6,0.135,59.1,-23.7
GOOGL,0.95,0.546,0.748,90.0,0.169,53.2,-20.8
FDX,0.725,0.729,0.727,49.2,0.152,52.8,-11.9
IBKR,0.85,0.6,0.725,61.0,0.115,54.8,-19.5
GS,0.7,0.708,0.704,47.8,0.131,57.5,-20.3
GLD,0.775,0.562,0.669,51.2,0.088,56.0,-20.6
QQQ,0.45,0.858,0.654,23.6,0.127,57.1,-12.5
XOM,0.6,0.704,0.652,38.8,0.091,55.6,-15.0
GLE.PA,0.8,0.483,0.642,52.0,0.11,54.0,-21.5
VGT,0.5,0.783,0.642,29.9,0.123,60.7,-17.2
NVDA,0.825,0.45,0.638,60.3,0.115,53.6,-22.3
GE,0.675,0.554,0.615,42.4,0.095,56.0,-21.3
SPY,0.3,0.862,0.581,17.4,0.136,55.6,-9.0
MCK,0.575,0.533,0.554,35.6,0.052,54.4,-14.3
GD,0.525,0.5,0.512,32.2,0.077,50.4,-9.0
JPM,0.35,0.658,0.504,18.4,0.079,55.2,-16.1
BAC,0.25,0.663,0.456,12.9,0.097,56.0,-18.5
PLTR,0.9,-0.092,0.404,72.8,0.031,53.6,-42.2
LLYVK,0.55,0.188,0.369,34.5,0.06,53.2,-25.0
CB,0.15,0.546,0.348,9.2,0.065,52.4,-11.3
AAPL,0.225,0.463,0.344,11.7,0.071,51.2,-14.4
EQIX,0.4,0.262,0.331,20.8,0.07,51.2,-21.2
TSLA,0.625,-0.004,0.31,39.2,0.045,51.6,-31.4
LILAK,0.375,0.2,0.288,20.4,0.07,50.8,-22.9
OXY,0.425,0.146,0.285,22.9,0.058,49.6,-19.4
AGN.AS,-0.025,0.567,0.271,2.6,0.064,54.0,-15.7
F,0.475,0.033,0.254,23.6,0.063,49.2,-22.7
NUAI,1.0,-0.537,0.231,250.7,0.052,45.2,-74.4
VST,0.65,-0.208,0.221,40.8,0.034,50.4,-38.1
AXP,0.175,0.146,0.16,9.6,0.056,52.8,-24.9
ALLY,0.075,0.229,0.152,5.4,0.075,51.6,-23.8
AMZN,0.025,0.275,0.15,3.7,0.058,53.6,-22.8
KO,0.2,0.083,0.142,9.9,0.033,47.2,-8.5
CAC.PA,-0.15,0.337,0.094,0.9,0.061,49.6,-11.0
KER.PA,0.325,-0.158,0.083,18.0,0.061,49.2,-34.2
GWW,0.1,0.025,0.063,6.6,0.038,48.8,-17.5
IBM,0.05,0.033,0.042,4.2,0.022,54.0,-30.6
PHIA.AS,-0.125,0.192,0.033,0.9,0.04,50.4,-17.6
BLK,-0.075,0.129,0.027,2.2,0.043,52.0,-23.7
COF,-0.05,0.104,0.027,2.3,0.027,56.0,-32.9
KR,0.275,-0.3,-0.013,13.8,-0.001,46.0,-20.4
OR.PA,0.0,-0.183,-0.092,2.8,-0.008,47.2,-16.8
SIRI,-0.25,0.042,-0.104,-1.1,0.039,49.2,-18.9
ORCL,0.125,-0.342,-0.108,7.8,0.027,50.4,-60.9
AI.PA,-0.3,0.042,-0.129,-2.9,0.024,49.2,-16.8
META,-0.1,-0.167,-0.133,1.0,0.042,50.4,-35.7
AIR.PA,-0.225,-0.079,-0.152,-0.6,0.058,49.6,-28.5
MSFT,-0.2,-0.171,-0.185,0.4,0.022,51.6,-35.1
BN.PA,-0.175,-0.237,-0.206,0.8,-0.019,48.0,-17.8
VRSN,-0.325,-0.138,-0.231,-4.7,0.004,52.4,-31.7
MA,-0.5,0.021,-0.24,-11.4,-0.005,51.6,-20.1
MCO,-0.4,-0.142,-0.271,-6.3,0.011,50.0,-24.3
FWONK,-0.425,-0.158,-0.292,-6.7,0.009,50.4,-25.9
DVA,-0.275,-0.442,-0.358,-1.8,0.011,47.2,-32.8
AON,-0.65,-0.079,-0.365,-20.3,-0.002,49.6,-19.0
V,-0.575,-0.192,-0.383,-13.7,-0.015,50.0,-21.8
HD,-0.45,-0.429,-0.44,-7.2,0.001,45.6,-24.9
NESN.SW,-0.475,-0.446,-0.46,-11.3,-0.027,43.3,-20.3
NFLX,-0.35,-0.583,-0.467,-6.1,-0.024,49.2,-45.0
TEM,-0.375,-0.604,-0.49,-6.2,0.005,48.4,-62.1
NVR,-0.525,-0.458,-0.492,-12.3,-0.002,47.2,-26.7
JEF,-0.775,-0.279,-0.527,-27.6,0.008,52.0,-51.3
KHC,-0.725,-0.375,-0.55,-23.0,-0.053,50.0,-24.9
TMUS,-0.675,-0.475,-0.575,-21.7,-0.04,49.2,-29.2
STZ,-0.6,-0.683,-0.642,-15.4,-0.023,44.4,-35.1
ASST,-0.55,-0.758,-0.654,-13.5,0.006,40.1,-99.2
DPZ,-0.625,-0.688,-0.656,-19.0,-0.068,45.2,-30.6
LPX,-0.7,-0.629,-0.665,-21.7,-0.017,45.6,-34.7
CAP.PA,-0.8,-0.583,-0.692,-29.7,-0.027,49.2,-40.4
ROP,-0.875,-0.583,-0.729,-40.0,-0.113,50.4,-46.9
PGHN.SW,-0.85,-0.608,-0.729,-36.3,-0.025,47.2,-33.4
DEO,-0.75,-0.796,-0.773,-27.5,-0.052,43.3,-38.9
STLAP.PA,-0.925,-0.629,-0.777,-44.4,-0.012,48.4,-50.7
UNH,-0.9,-0.704,-0.802,-44.1,-0.03,48.0,-45.9
POOL,-0.825,-0.817,-0.821,-35.8,-0.044,42.5,-41.7
CHTR,-0.95,-0.758,-0.854,-44.6,-0.074,48.8,-59.7
DSY.PA,-0.975,-0.758,-0.867,-51.7,-0.085,48.8,-56.4
