Ticker,Action,Montant,Quantite,Tag
MCK,ACHAT,200974,255,
ENGI.PA,ACHAT,156800,8010,STAR
ASML.AS,ACHAT,121460,135,STAR
JNJ,ACHAT,121460,634,STAR
NVDA,ACHAT,118449,648,
GLD,ACHAT,97900,242,STAR
GOOGL,ACHAT,97900,382,STAR
NFLX,ACHAT,92917,750,
VST,ACHAT,66643,344,
ORCL,ACHAT,51467,186,
JPM,ACHAT,40574,135,
IBKR,ACHAT,14747,220,
GLE.PA,ACHAT,14534,274,
AAPL,VENTE,19898,76,
AGN.AS,VENTE,19898,3130,
AI.PA,VENTE,19898,114,
AIR.PA,VENTE,19898,97,
ALLY,VENTE,19898,498,
AMZN,VENTE,19898,91,
AON,VENTE,19898,57,
AXP,VENTE,19898,57,
BAC,VENTE,19898,386,
BLK,VENTE,19898,17,
BN.PA,VENTE,19898,256,
CAC.PA,VENTE,19898,246,
CAP.PA,VENTE,19898,161,
CB,VENTE,19898,74,
CHTR,VENTE,19898,79,LOSER
COF,VENTE,19898,93,
DEO,VENTE,19898,205,
DPZ,VENTE,19898,47,
DSY.PA,VENTE,19898,668,LOSER
DVA,VENTE,19898,155,
EQIX,VENTE,19898,24,
F,VENTE,19898,1696,
FDX,VENTE,19898,83,
FWONK,VENTE,19898,203,
GD,VENTE,19898,59,
GE,VENTE,19898,65,
GWW,VENTE,19898,20,
HD,VENTE,19898,51,
IBM,VENTE,19898,70,
JEF,VENTE,19898,373,
KER.PA,VENTE,19898,61,
KHC,VENTE,19898,799,
KLAC,VENTE,19898,17,
KO,VENTE,19898,294,
KR,VENTE,19898,290,
LILAK,VENTE,19898,2414,
LPX,VENTE,19898,220,
MA,VENTE,19898,35,
MCO,VENTE,19898,42,
META,VENTE,19898,27,
MSFT,VENTE,19898,38,
NESN.SW,VENTE,19898,246,
NVR,VENTE,19898,2,
OR.PA,VENTE,19898,50,
OXY,VENTE,19898,490,
PGHN.SW,VENTE,19898,20,
PHIA.AS,VENTE,19898,813,
POOL,VENTE,19898,68,LOSER
QQQ,VENTE,19898,32,
ROP,VENTE,19898,39,
SIRI,VENTE,19898,942,
STLAP.PA,VENTE,19898,2183,LOSER
STZ,VENTE,19898,142,
TSLA,VENTE,19898,44,
UNH,VENTE,19898,55,LOSER
V,VENTE,19898,58,
VGT,VENTE,19898,26,
VRSN,VENTE,19898,75,
XOM,VENTE,19898,179,
GS,VENTE,19335,25,
TMUS,VENTE,2482,10,
